# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
   18.036170341    1.155630076    1.155630076    1.155629962
   18.076248497    1.106566224    1.106566224    1.106566106
   18.116326653    1.089415703    1.089415703    1.089415583
   18.156404810    1.129467922    1.129467922    1.129467802
   18.196482966    1.219258733    1.219258732    1.219258613
   18.236561122    1.317657599    1.317657598    1.317657480
   18.276639279    1.392240798    1.392240797    1.392240680
   18.316717435    1.402750363    1.402750362    1.402750249
   18.356795591    1.359926085    1.359926084    1.359925972
   18.396873747    1.353039497    1.353039496    1.353039382
   18.436951904    1.423534768    1.423534767    1.423534650
   18.477030060    1.550513677    1.550513676    1.550513554
   18.517108216    1.734108447    1.734108446    1.734108321
   18.557186373    1.908308134    1.908308134    1.908308012
   18.597264529    1.933671738    1.933671737    1.933671622
   18.637342685    1.877910707    1.877910707    1.877910590
   18.677420842    1.843395595    1.843395594    1.843395472
   18.717498998    1.856166771    1.856166770    1.856166645
   18.757577154    1.903513982    1.903513981    1.903513856
   18.797655311    1.901157023    1.901157022    1.901156901
   18.837733467    1.822199106    1.822199105    1.822198989
   18.877811623    1.701361372    1.701361371    1.701361256
   18.917889780    1.552071420    1.552071420    1.552071301
   18.957967936    1.382097862    1.382097862    1.382097739
   18.998046092    1.211993869    1.211993869    1.211993741
   19.038124248    1.084771579    1.084771579    1.084771449
   19.078202405    1.032011795    1.032011795    1.032011664
   19.118280561    1.029986355    1.029986355    1.029986224
   19.158358717    1.055471400    1.055471400    1.055471269
   19.198436874    1.087499340    1.087499340    1.087499208
   19.238515030    1.091584044    1.091584045    1.091583912
   19.278593186    1.049209530    1.049209530    1.049209397
   19.318671343    0.993611141    0.993611142    0.993611008
   19.358749499    0.984748943    0.984748944    0.984748810
   19.398827655    1.050157313    1.050157314    1.050157178
   19.438905812    1.169712975    1.169712975    1.169712834
   19.478983968    1.309879734    1.309879735    1.309879589
   19.519062124    1.418053589    1.418053590    1.418053445
   19.559140281    1.460885747    1.460885748    1.460885605
   19.599218437    1.513562324    1.513562325    1.513562182
   19.639296593    1.590548971    1.590548973    1.590548828
   19.679374749    1.587695628    1.587695631    1.587695488
   19.719452906    1.456766596    1.456766599    1.456766459
   19.759531062    1.291788242    1.291788244    1.291788103
   19.799609218    1.190393876    1.190393878    1.190393734
   19.839687375    1.169041853    1.169041854    1.169041709
   19.879765531    1.211319961    1.211319963    1.211319816
   19.919843687    1.310751248    1.310751248    1.310751102
   19.959921844    1.443621001    1.443621001    1.443620855
   20.000000000    1.574617748    1.574617748    1.574617600
