# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    9.499523046    1.396193289    1.396193281    1.396193292
    9.539601202    1.351157597    1.351157589    1.351157600
    9.579679359    1.321221374    1.321221367    1.321221376
    9.619757515    1.292634807    1.292634800    1.292634809
    9.659835671    1.251307102    1.251307095    1.251307103
    9.699913828    1.237324846    1.237324838    1.237324844
    9.739991984    1.260284824    1.260284816    1.260284819
    9.780070140    1.265746629    1.265746621    1.265746625
    9.820148297    1.223556504    1.223556497    1.223556502
    9.860226453    1.166237252    1.166237244    1.166237249
    9.900304609    1.130783939    1.130783931    1.130783936
    9.940382766    1.123124564    1.123124556    1.123124562
    9.980460922    1.132483507    1.132483499    1.132483505
   10.020539078    1.148861846    1.148861838    1.148861844
   10.060617234    1.161616401    1.161616393    1.161616400
   10.100695391    1.145354951    1.145354943    1.145354950
   10.140773547    1.101074829    1.101074821    1.101074828
   10.180851703    1.058393508    1.058393500    1.058393507
   10.220929860    1.028024012    1.028024004    1.028024011
   10.261008016    1.000640207    1.000640199    1.000640206
   10.301086172    0.985810447    0.985810439    0.985810446
   10.341164329    1.004794335    1.004794326    1.004794332
   10.381242485    1.050844177    1.050844168    1.050844174
   10.421320641    1.101706037    1.101706029    1.101706035
   10.461398798    1.142871645    1.142871637    1.142871643
   10.501476954    1.176349261    1.176349253    1.176349259
   10.541555110    1.193801118    1.193801110    1.193801116
   10.581633267    1.176860934    1.176860925    1.176860932
   10.621711423    1.109942665    1.109942656    1.109942664
   10.661789579    1.036567414    1.036567405    1.036567413
   10.701867735    0.994583299    0.994583290    0.994583297
   10.741945892    0.985122443    0.985122434    0.985122440
   10.782024048    1.001139589    1.001139580    1.001139586
   10.822102204    1.021256791    1.021256782    1.021256788
   10.862180361    1.033117793    1.033117784    1.033117791
   10.902258517    1.043374293    1.043374284    1.043374290
   10.942336673    1.053118997    1.053118988    1.053118995
   10.982414830    1.038537224    1.038537215    1.038537223
   11.022492986    1.012104182    1.012104173    1.012104180
   11.062571142    1.011650532    1.011650523    1.011650529
   11.102649299    1.022882095    1.022882086    1.022882091
   11.142727455    1.025470789    1.025470780    1.025470785
   11.182805611    1.032269088    1.032269079    1.032269082
   11.222883768    1.064455680    1.064455671    1.064455675
   11.262961924    1.115888306    1.115888297    1.115888301
   11.303040080    1.161369097    1.161369088    1.161369093
   11.343118236    1.195863822    1.195863813    1.195863818
   11.383196393    1.215220807    1.215220797    1.215220803
   11.423274549    1.205831832    1.205831823    1.205831828
   11.463352705    1.184178671    1.184178662    1.184178668
   11.503430862    1.162357343    1.162357333    1.162357339
   11.543509018    1.131036739    1.131036730    1.131036736
   11.583587174    1.103533822    1.103533812    1.103533819
   11.623665331    1.091577524    1.091577514    1.091577522
   11.663743487    1.097683163    1.097683153    1.097683162
   11.703821643    1.117522449    1.117522439    1.117522447
   11.743899800    1.131211140    1.131211130    1.131211138
   11.783977956    1.120041757    1.120041748    1.120041755
   11.824056112    1.075213463    1.075213453    1.075213460
   11.864134269    1.022285993    1.022285983    1.022285990
   11.904212425    0.994948047    0.994948037    0.994948044
   11.944290581    0.993160145    0.993160135    0.993160142
   11.984368737    0.999546415    0.999546405    0.999546411
   12.024446894    1.004068243    1.004068233    1.004068239
   12.064525050    1.003493578    1.003493568    1.003493575
   12.104603206    0.999088660    0.999088649    0.999088658
   12.144681363    1.002934028    1.002934017    1.002934025
   12.184759519    1.034783862    1.034783851    1.034783858
   12.224837675    1.093634482    1.093634471    1.093634477
   12.264915832    1.157566620    1.157566610    1.157566615
   12.304993988    1.211197157    1.211197147    1.211197151
   12.345072144    1.243205517    1.243205507    1.243205511
   12.385150301    1.237149982    1.237149971    1.237149977
   12.425228457    1.202011317    1.202011307    1.202011314
   12.465306613    1.156000627    1.156000617    1.156000625
   12.505384770    1.101114664    1.101114653    1.101114662
   12.545462926    1.040178586    1.040178575    1.040178584
   12.585541082    0.985147916    0.985147905    0.985147914
   12.625619238    0.963242211    0.963242200    0.963242207
   12.665697395    0.991461565    0.991461554    0.991461560
   12.705775551    1.052794000    1.052793989    1.052793995
   12.745853707    1.098941973    1.098941962    1.098941969
   12.785931864    1.100516497    1.100516486    1.100516494
   12.826010020    1.069521575    1.069521564    1.069521572
   12.866088176    1.027123765    1.027123753    1.027123762
   12.906166333    0.979737174    0.979737163    0.979737171
   12.946244489    0.933365946    0.933365935    0.933365943
   12.986322645    0.898099860    0.898099848    0.898099857
   13.026400802    0.878652751    0.878652739    0.878652747
   13.066478958    0.883402663    0.883402652    0.883402659
   13.106557114    0.909263123    0.909263112    0.909263119
   13.146635271    0.938808382    0.938808370    0.938808377
   13.186713427    0.954945125    0.954945113    0.954945121
   13.226791583    0.960152976    0.960152964    0.960152972
   13.266869739    0.975553370    0.975553358    0.975553365
   13.306947896    0.995651306    0.995651294    0.995651301
   13.347026052    1.001929034    1.001929022    1.001929028
   13.387104208    0.989665233    0.989665221    0.989665227
   13.427182365    0.983935488    0.983935476    0.983935483
   13.467260521    0.988913681    0.988913669    0.988913676
   13.507338677    0.988904067    0.988904055    0.988904063
   13.547416834    0.983470388    0.983470375    0.983470383
   13.587494990    0.989394368    0.989394355    0.989394363
   13.627573146    1.019261264    1.019261252    1.019261259
   13.667651303    1.055155940    1.055155927    1.055155935
   13.707729459    1.072218384    1.072218372    1.072218380
   13.747807615    1.069443112    1.069443100    1.069443109
   13.787885772    1.053541118    1.053541105    1.053541115
   13.827963928    1.013868380    1.013868368    1.013868378
   13.868042084    0.956536482    0.956536469    0.956536480
   13.908120240    0.918096773    0.918096760    0.918096769
   13.948198397    0.917348536    0.917348523    0.917348530
   13.988276553    0.939895853    0.939895840    0.939895847
   14.028354709    0.967560936    0.967560923    0.967560930
   14.068432866    0.987863058    0.987863045    0.987863052
   14.108511022    0.994440256    0.994440243    0.994440251
   14.148589178    0.990131914    0.990131901    0.990131910
   14.188667335    0.986088983    0.986088970    0.986088979
   14.228745491    0.986353474    0.986353461    0.986353470
   14.268823647    0.980422235    0.980422221    0.980422231
   14.308901804    0.963980455    0.963980441    0.963980451
   14.348979960    0.943172427    0.943172414    0.943172423
   14.389058116    0.931163067    0.931163053    0.931163062
   14.429136273    0.944679705    0.944679691    0.944679699
   14.469214429    0.972334672    0.972334658    0.972334666
   14.509292585    0.996401975    0.996401961    0.996401969
   14.549370741    1.008740587    1.008740573    1.008740581
   14.589448898    1.004874177    1.004874163    1.004874170
   14.629527054    1.003797062    1.003797048    1.003797055
   14.669605210    1.015645581    1.015645567    1.015645575
