wl	n
11.63	0.324974
11.64	0.325325
11.65	0.325676
11.66	0.326028
11.67	0.326380
11.68	0.326734
11.69	0.327087
11.70	0.327442
11.71	0.327797
11.72	0.328153
11.73	0.328509
11.74	0.328866
11.75	0.329224
11.76	0.329582
11.77	0.329942
11.78	0.330301
11.79	0.330662
11.80	0.331022
11.81	0.331384
11.82	0.331746
11.83	0.332109
11.84	0.332473
11.85	0.332837
11.86	0.333202
11.87	0.333567
11.88	0.333933
11.89	0.334300
11.90	0.334667
11.91	0.335035
11.92	0.335403
11.93	0.335772
11.94	0.336142
11.95	0.336512
11.96	0.336883
11.97	0.337255
11.98	0.337627
11.99	0.338000
12.00	0.338373
12.01	0.338747
12.02	0.339121
12.03	0.339497
12.04	0.339872
12.05	0.340249
12.06	0.340626
12.07	0.341003
12.08	0.341381
12.09	0.341760
12.10	0.342139
12.11	0.342519
12.12	0.342899
12.13	0.343280
12.14	0.343662
12.15	0.344044
12.16	0.344427
12.17	0.344810
12.18	0.345194
12.19	0.345579
12.20	0.345964
12.21	0.346350
12.22	0.346736
12.23	0.347123
12.24	0.347510
12.25	0.347898
12.26	0.348286
12.27	0.348675
12.28	0.349065
12.29	0.349455
12.30	0.349846
12.31	0.350237
12.32	0.350629
12.33	0.351021
12.34	0.351414
12.35	0.351808
12.36	0.352202
12.37	0.352596
12.38	0.352992
12.39	0.353387
12.40	0.353784
12.41	0.354180
12.42	0.354578
12.43	0.354976
12.44	0.355374
12.45	0.355773
12.46	0.356172
12.47	0.356572
12.48	0.356973
12.49	0.357374
12.50	0.357776
12.51	0.358178
12.52	0.358581
12.53	0.358984
12.54	0.359388
12.55	0.359792
12.56	0.360197
12.57	0.360602
12.58	0.361008
12.59	0.361414
12.60	0.361821
12.61	0.362229
12.62	0.362637
12.63	0.363045
12.64	0.363454
12.65	0.363864
12.66	0.364274
12.67	0.364685
12.68	0.365096
12.69	0.365507
12.70	0.365919
12.71	0.366332
12.72	0.366745
12.73	0.367159
12.74	0.367573
12.75	0.367988
12.76	0.368403
12.77	0.368819
12.78	0.369235
