wl	n
1.9800	12.286
1.9900	12.352
2.0000	12.419
2.0100	12.484
2.0200	12.550
2.0300	12.615
2.0400	12.681
2.0500	12.745
2.0600	12.810
2.0700	12.874
2.0800	12.938
2.0900	13.004
2.1000	13.067
2.1100	13.132
2.1200	13.198
2.1300	13.262
2.1400	13.325
2.1500	13.389
2.1600	13.454
2.1700	13.518
2.1800	13.580
2.1900	13.644
2.2000	13.708
2.2100	13.772
2.2200	13.837
2.2300	13.900
2.2400	13.962
2.2500	14.026
2.2600	14.089
2.2700	14.154
2.2800	14.216
2.2900	14.280
2.3000	14.343
2.3100	14.407
2.3200	14.470
2.3300	14.534
2.3400	14.596
2.3500	14.660
2.3600	14.722
2.3700	14.786
2.3800	14.848
2.3900	14.910
2.4000	14.972
2.4100	15.035
2.4200	15.097
2.4300	15.160
2.4400	15.222
2.4500	15.285
2.4600	15.347
2.4700	15.410
2.4800	15.475
2.4900	15.538
2.5000	15.604
2.5063	15.644
2.5126	15.684
2.5189	15.724
2.5253	15.764
2.5316	15.804
2.5381	15.843
2.5445	15.884
2.5510	15.924
2.5575	15.964
2.5641	16.005
2.5707	16.046
2.5773	16.087
2.5840	16.129
2.5907	16.170
2.5974	16.212
2.6042	16.254
2.6110	16.296
2.6178	16.338
2.6247	16.381
2.6316	16.424
2.6385	16.467
2.6455	16.510
2.6525	16.554
2.6596	16.598
2.6667	16.642
2.6738	16.686
2.6810	16.730
2.6882	16.775
2.6954	16.819
2.7027	16.865
2.7100	16.910
2.7174	16.955
2.7248	17.001
2.7322	17.046
2.7397	17.092
2.7473	17.138
2.7548	17.185
2.7624	17.231
2.7701	17.278
2.7778	17.325
2.7855	17.372
2.7933	17.420
2.8011	17.467
2.8090	17.514
2.8169	17.562
2.8249	17.610
2.8329	17.658
2.8409	17.707
2.8490	17.755
2.8571	17.804
2.8653	17.853
2.8736	17.903
2.8818	17.953
2.8902	18.003
2.8986	18.053
2.9070	18.103
2.9155	18.153
2.9240	18.204
2.9326	18.256
2.9412	18.307
2.9499	18.359
2.9586	18.411
2.9674	18.464
2.9762	18.517
2.9851	18.570
2.9940	18.623
3.0030	18.677
3.0120	18.731
3.0211	18.786
3.0303	18.841
3.0395	18.896
3.0488	18.952
3.0581	19.008
3.0675	19.064
3.0769	19.121
3.0864	19.178
3.0960	19.236
3.1056	19.294
3.1153	19.353
3.1250	19.412
3.1348	19.471
3.1447	19.530
3.1546	19.590
3.1646	19.650
3.1746	19.711
3.1847	19.772
3.1949	19.834
3.2051	19.896
3.2154	19.959
3.2258	20.022
3.2362	20.085
3.2468	20.149
3.2573	20.214
3.2680	20.280
3.2787	20.345
3.2895	20.410
3.3003	20.475
3.3113	20.541
3.3223	20.609
3.3333	20.676
3.3445	20.744
3.3557	20.813
3.3670	20.881
3.3784	20.951
3.3898	21.020
3.4014	21.091
