wl	n
1.98	2.31E-05
1.99	2.29E-05
2.00	2.34E-05
2.0097	2.37E-05
2.0190	2.42E-05
2.0285	2.48E-05
2.0381	2.56E-05
2.0478	2.64E-05
2.0575	2.76E-05
2.0673	2.83E-05
2.0773	3.01E-05
2.0873	3.49E-05
2.0975	3.58E-05
2.1077	4.27E-05
2.1180	5.11E-05
2.1285	5.28E-05
2.1390	5.67E-05
2.1496	5.61E-05
2.1568	5.39E-05
2.1676	5.50E-05
2.1785	5.60E-05
2.1896	6.30E-05
2.1970	7.57E-05
2.2082	9.51E-05
2.2196	6.45E-03
2.2272	6.45E-03
2.2387	6.26E-03
2.2465	5.90E-03
2.2582	5.43E-03
2.2661	5.63E-03
2.2781	5.38E-03
2.2861	5.06E-03
2.2983	5.01E-03
2.3065	5.00E-03
2.3188	5.17E-03
2.3272	5.19E-03
2.3398	4.91E-03
2.3482	5.06E-03
2.3568	5.34E-03
2.3697	5.99E-03
2.3784	5.73E-03
2.3872	5.14E-03
2.3960	4.98E-03
2.4093	5.64E-03
2.4183	5.89E-03
2.4274	5.86E-03
2.4365	5.60E-03
2.4457	5.23E-03
2.4596	5.10E-03
2.4690	4.99E-03
2.4784	4.33E-03
2.4880	3.79E-03
2.4975	3.92E-03
2.5072	4.53E-03
2.5169	5.02E-03
2.5268	5.34E-03
2.5366	5.59E-03
2.5466	5.24E-03
2.5567	4.41E-03
2.5668	3.99E-03
2.5770	3.63E-03
2.5873	3.81E-03
2.5976	4.79E-03
2.6081	5.71E-03
2.6186	5.66E-03
2.6293	5.62E-03
2.6400	5.65E-03
2.6454	5.55E-03
2.6562	5.35E-03
2.6671	4.89E-03
2.6782	4.54E-03
2.6893	4.35E-03
2.6949	4.50E-03
2.7061	4.93E-03
2.7175	5.20E-03
2.7289	5.50E-03
2.7347	5.58E-03
2.7462	5.35E-03
2.7579	5.32E-03
2.7697	4.89E-03
2.7756	4.57E-03
2.7876	4.37E-03
2.7996	4.81E-03
2.8057	5.08E-03
2.8179	5.42E-03
2.8240	5.40E-03
2.8364	4.52E-03
2.8489	3.39E-03
2.8551	3.17E-03
2.8678	3.39E-03
2.8741	3.49E-03
2.8869	3.42E-03
2.8998	4.45E-03
2.9063	5.00E-03
2.9194	5.28E-03
2.9260	5.22E-03
2.9393	4.95E-03
2.9460	4.89E-03
2.9594	4.52E-03
2.9662	4.46E-03
2.9798	4.93E-03
2.9867	5.14E-03
2.9936	5.17E-03
3.0075	4.71E-03
3.0145	4.38E-03
3.0286	3.61E-03
3.0357	3.42E-03
3.0499	3.29E-03
3.0571	3.32E-03
3.0644	3.66E-03
3.0789	4.28E-03
3.0863	4.27E-03
3.0936	4.25E-03
3.1085	4.67E-03
3.1159	4.88E-03
3.1234	5.00E-03
3.1386	4.90E-03
3.1462	4.56E-03
3.1538	4.60E-03
3.1693	5.46E-03
3.1770	5.53E-03
3.1848	5.40E-03
3.1927	5.05E-03
3.2085	4.58E-03
3.2164	4.74E-03
3.2244	4.96E-03
3.2325	5.07E-03
